,Time,m,p
0,0.0,0.0001,0.0001
1,10.0,0.000143226512722646,0.00010023121947320842
2,20.0,0.00018041157759140445,0.00010423777129855101
3,30.0,0.0002124252832077465,0.00011103026161670703
4,40.0,0.00023997970083491395,0.0001198518059622303
5,50.0,0.0002636983576771434,0.00013007984332940106
6,60.0,0.0002841145154784691,0.0001412217312262823
7,70.0,0.0003016863457452667,0.000152888651213821
8,80.0,0.0003168093347048245,0.0001647736027640762
9,90.0,0.00032982610154040165,0.00017663536158944571
10,100.0,0.00034102968436517734,0.00018829319042099917
11,110.0,0.00035067262760215314,0.00019961185153211423
12,120.0,0.00035897234355995955,0.00021049340135525393
13,130.0,0.00036611466311644924,0.00022087172022439792
14,140.0,0.000372261521261631,0.00023070139454716215
15,150.0,0.0003775540712190175,0.00023995313892320155
16,160.0,0.000382109614699727,0.0002486206471270959
17,170.0,0.0003860306140255028,0.0002567061146025178
18,180.0,0.00038940514341204033,0.0002642206105327753
19,190.0,0.0003923092891997872,0.00027118099329723606
20,200.0,0.0003948091812138258,0.0002776075622684972
21,210.0,0.00039696088015577684,0.0002835255490280769
22,220.0,0.0003988129271439028,0.00028896232864606807
23,230.0,0.0004004070064011028,0.0002939461819001427
24,240.0,0.0004017790633280923,0.00029850583457347333
25,250.0,0.00040296037145977814,0.00030266967254347424
26,260.0,0.00040397738244857376,0.00030646582456017433
27,270.0,0.00040485202690552564,0.0003099220860648059
28,280.0,0.0004056050948668411,0.00031306398538804095
29,290.0,0.00040625287329827507,0.0003159166816236088
30,300.0,0.0004068103558930537,0.000318503539686056
31,310.0,0.00040729033745658496,0.0003208464800582633
32,320.0,0.0004077038087368,0.00032296665230465603
33,330.0,0.000408059000294257,0.00032488233939130935
34,340.0,0.00040836495646468104,0.0003266126689372212
35,350.0,0.000408627943249862,0.0003281733253826033
36,360.0,0.000408854089359463,0.0003295801407615386
37,370.0,0.00040904904966349736,0.000330848409098331
38,380.0,0.0004092165065543585,0.00033198942830820903
39,390.0,0.0004093608085985043,0.00033301584593095287
40,400.0,0.0004094858140316979,0.00033393957928417255
41,410.0,0.0004095932132025619,0.0003347689859739404
42,420.0,0.0004096857206601553,0.0003355141053627457
43,430.0,0.00040976557698671283,0.0003361836789087338
44,440.0,0.00040983404874696044,0.0003367839771026708
45,450.0,0.000409892995232301,0.0003373227741113959
46,460.0,0.0004099437717307975,0.0003378062136935613
47,470.0,0.00040998732533330316,0.0003382391273656318
48,480.0,0.0004100248809010007,0.00033862723857913055
49,490.0,0.00041005715168896555,0.00033897460949508637
50,500.0,0.00041008488458552594,0.0003392854114886326
51,510.0,0.00041010883375853705,0.00033956379663436197
52,520.0,0.0004101293903458436,0.00033981257469118314
53,530.0,0.0004101470931812848,0.0003400351015289165
54,540.0,0.00041016235485185986,0.0003402341447896453
55,550.0,0.0004101754517105414,0.00034041185641061906
56,560.0,0.00041018674602046935,0.0003405707635404662
57,570.0,0.00041019640439570175,0.00034071228390570137
58,580.0,0.0004102046469512225,0.000340838138585119
59,590.0,0.00041021174733373895,0.00034095035218441636
60,600.0,0.0004102179791899584,0.00034105094930929054
