Time,"A1, 0.1","A1, 0.1","A1, 0.1","A1, 0.15","A1, 0.15","A1, 0.15","A1, 0.2","A1, 0.2","A1, 0.2",Blank,Blank,Blank
Trials,1,2,3,1,2,3,1,2,3,1,2,3
12,0.241,0.235,0.226,0.23,0.231,0.219,0.227,0.228,0.22,0.041,0.043,0.04
27,0.249,0.241,0.232,0.236,0.237,0.225,0.235,0.233,0.226,0.04,0.046,0.04
42,0.259,0.253,0.243,0.246,0.246,0.233,0.242,0.243,0.235,0.041,0.049,0.04
57,0.269,0.261,0.251,0.256,0.254,0.241,0.251,0.25,0.243,0.041,0.051,0.04
72,0.277,0.27,0.259,0.264,0.263,0.248,0.26,0.26,0.252,0.041,0.053,0.04
87,0.287,0.281,0.269,0.274,0.274,0.259,0.27,0.27,0.261,0.041,0.054,0.04
102,0.298,0.293,0.283,0.286,0.286,0.271,0.282,0.282,0.274,0.041,0.055,0.04
117,0.313,0.306,0.296,0.3,0.3,0.285,0.296,0.299,0.287,0.041,0.057,0.04
132,0.329,0.331,0.318,0.321,0.319,0.299,0.324,0.323,0.307,0.041,0.058,0.04
147,0.359,0.35,0.344,0.35,0.35,0.32,0.347,0.341,0.334,0.041,0.059,0.04
162,0.379,0.368,0.363,0.373,0.372,0.349,0.358,0.349,0.351,0.041,0.06,0.04
177,0.391,0.382,0.379,0.382,0.375,0.363,0.365,0.358,0.361,0.041,0.061,0.04
192,0.391,0.395,0.388,0.383,0.376,0.361,0.371,0.366,0.368,0.041,0.061,0.04
207,0.4,0.406,0.389,0.386,0.382,0.372,0.377,0.376,0.373,0.041,0.063,0.04
222,0.413,0.42,0.393,0.398,0.396,0.386,0.389,0.388,0.387,0.041,0.064,0.04
237,0.424,0.42,0.403,0.408,0.407,0.395,0.402,0.4,0.399,0.041,0.064,0.04
252,0.44,0.425,0.417,0.422,0.421,0.41,0.418,0.414,0.414,0.041,0.065,0.04
267,0.453,0.439,0.432,0.436,0.435,0.424,0.433,0.429,0.429,0.041,0.065,0.04
282,0.47,0.454,0.447,0.451,0.451,0.441,0.449,0.447,0.444,0.041,0.066,0.04
297,0.487,0.468,0.463,0.465,0.464,0.456,0.463,0.461,0.459,0.041,0.067,0.04
312,0.504,0.485,0.476,0.48,0.478,0.469,0.477,0.475,0.478,0.041,0.068,0.04
327,0.517,0.5,0.495,0.496,0.495,0.487,0.495,0.492,0.494,0.041,0.067,0.04
342,0.521,0.503,0.5,0.511,0.509,0.503,0.51,0.508,0.51,0.041,0.068,0.04
357,0.525,0.506,0.504,0.529,0.528,0.52,0.528,0.527,0.53,0.041,0.068,0.04
372,0.525,0.506,0.503,0.547,0.545,0.541,0.549,0.546,0.547,0.041,0.069,0.04
387,0.518,0.5,0.499,0.563,0.563,0.556,0.564,0.562,0.564,0.041,0.07,0.04
402,0.523,0.503,0.5,0.582,0.583,0.581,0.586,0.582,0.584,0.041,0.071,0.04
417,0.519,0.499,0.496,0.582,0.583,0.585,0.602,0.599,0.601,0.041,0.071,0.04
432,0.52,0.499,0.496,0.581,0.582,0.586,0.621,0.617,0.618,0.041,0.071,0.04
447,0.52,0.5,0.497,0.58,0.583,0.587,0.639,0.636,0.636,0.041,0.071,0.04
462,0.521,0.5,0.495,0.577,0.58,0.586,0.655,0.651,0.651,0.041,0.071,0.04
477,0.521,0.498,0.496,0.576,0.58,0.586,0.672,0.667,0.668,0.041,0.072,0.04
492,0.521,0.501,0.495,0.575,0.578,0.582,0.685,0.679,0.684,0.041,0.072,0.04
